,使用者ID,地點／景點,活動,購買區間,搜尋紀錄
0,005f3246-6cfd-474f-a61f-4f2173a32603,"湯布院, 熊本, 熊本城, 金鱗湖, 高雄","溫泉之旅, 火車旅遊, 美食, 自然景觀, 親子旅遊",35000 - 39999,冰魚節
1,0251dd7b-317a-443d-beb3-cf20285b7e33,"九族, 九族文化村, 北海坑道, 北竿, 日月潭, 瑞穗牧場, 知本溫泉, 花蓮, 阿里山","婚禮蜜月, 文化歷史, 海島旅遊, 溫泉之旅, 火車旅遊, 美食, 自然景觀, 豪華",10000 - 14999,無
2,0259cfa6-0687-414f-b62c-7bca237b5984,"釜山, 高雄","火車旅遊, 自然景觀, 親子旅遊",15000 - 19999,無
3,026442c1-a2cd-4793-b6a7-232944f0087e,阿里山,自然景觀,5000 - 9999,無
4,028a927b-88ba-4d70-abce-be01a1b3051a,"海雲台, 釜山","火車旅遊, 自然景觀, 購物",20000 - 24999,無
5,030efd52-0098-4527-b08b-c0a221b52098,環球影城,主題樂園,120000 - 124999,無
6,0313f03a-73a2-4a76-9457-32c6c3c8fa45,"七星潭, 花蓮","火車旅遊, 自然景觀, 豪華",0 - 4999,無
7,035f7447-f0e0-4605-98f1-1b63454da316,"嘉義, 屏東, 杉林溪, 美術館, 高雄","其他, 美食, 自然景觀, 藝文體驗, 購物",0 - 4999,無
8,03857401-9a9c-424b-a591-aea5d7ca179b,高雄,"溫泉之旅, 美食, 自然景觀",50000 - 54999,無
9,0388f1a9-dd8c-449f-999d-65c18e8c3df1,"大阪, 心齋橋, 環球影城, 黑門市場","主題樂園, 購物",0 - 4999,無
10,03ca3f37-48c7-4096-8bf0-9af4d67fed24,"上野公園, 中尊寺, 二條城, 京都, 仙台, 別府, 北野, 北野異人館, 台中, 嚴美溪, 大阪, 奈良, 奧入瀨溪流, 宇治, 宇治川, 富士, 小岩井農場, 山形, 平等院, 東京, 東福寺, 橫濱, 沖繩, 海地獄, 淺草, 淺草寺, 清水寺, 熊本, 環球影城, 神戶, 神戶動物王國, 神戶港, 秋田, 箱根, 箱根神社, 美術館, 西湖, 角館, 跨海大橋, 遠野故鄉村, 金鱗湖, 銀山, 銀山溫泉街, 鎌倉, 長谷寺, 高雄","主題樂園, 其他, 文化歷史, 海島旅遊, 溫泉之旅, 火車旅遊, 美食, 自然景觀, 藝文體驗, 親子旅遊, 豪華",35000 - 39999,日本
11,04cb2e2d-7273-4839-9cac-5950cff8ab8d,"土耳其, 小番紅花城","文化歷史, 豪華",50000 - 54999,無
12,05745385-85f5-44c2-8a06-56421086a2e8,"伏見稻荷大社, 大阪, 奈良, 環球影城",主題樂園,30000 - 34999,無
13,05a088ad-091b-41eb-89d2-a991b1b90e82,花蓮,其他,0 - 4999,無
14,0631bd52-7d0a-48b5-ad7c-cf0d7fe48e06,高雄,其他,無資料,曼谷
15,064dda6f-240d-4c36-a10e-4639e8ab3f98,"九重夢大吊橋, 函館, 北海道, 夜景, 天狗山, 小樽, 旭山動物園, 札幌, 海地獄, 湯布院, 熊本, 熊本城, 熊牧場, 金鱗湖, 長崎, 阿蘇神社, 高雄","夜間活動, 婚禮蜜月, 文化歷史, 海島旅遊, 溫泉之旅, 火車旅遊, 美食, 自然景觀, 親子旅遊, 豪華",40000 - 44999,無
16,06554207-3ab5-4535-aeb4-54ef96fff7e9,"七星潭, 花蓮","文化歷史, 自然景觀, 購物",0 - 4999,"花蓮, 花蓮金針花, 花蓮金針花季, 金針花季"
17,06c7119f-8467-4be8-9753-128f53c73e51,香港,海島旅遊,無資料,香港
18,0736ff50-a8f9-49e6-b6e5-83714e8cf5bc,杉林溪,自然景觀,0 - 4999,無
19,07b9a5f1-7319-4cf6-bba3-827f347c6afc,"少女峰, 德瑞, 瑞士, 馬特宏峰","火車旅遊, 自然景觀",130000 - 134999,瑞士
20,081dfab3-48d2-4fa0-a8cf-d1581aa4a526,"埃及, 尼羅河, 紅海, 金字塔, 阿布辛貝",豪華,80000 - 84999,無
21,08544be5-3c07-4bb0-8a93-6bd7b218d783,"嘉義, 新竹, 美術館, 阿里山","其他, 火車旅遊, 自然景觀, 藝文體驗",0 - 4999,無
22,08d6f3fa-b3c2-4476-a72e-be02a28ef6e3,"嘉義, 奮起湖","自然景觀, 藝文體驗, 豪華",5000 - 9999,無
