產品編號,產品名稱,是否為國外產品,價格,活動類型,地點／景點,標籤
24JXN01ODB-ZP,每月一物｜京阪神奈四都.環球影城.宇治川遊船.平等院.清水寺.神戶新感覺水族館átoa.梅花鹿公園五日,True,31900.0,"主題樂園, 文化歷史, 親子旅遊","宇治, 宇治川, 平等院, 清水寺, 環球影城, 神戶","主題樂園, 宇治, 宇治川, 平等院, 文化歷史, 清水寺, 環球影城, 神戶, 親子旅遊"
24CW914CI0-T,連休限定｜香港迪士尼主題酒店加市區酒店3日自由行(含稅)｜樂園1日門票,True,19300.0,主題樂園,香港,"主題樂園, 香港"
24JXO15JXB-T,旅展優惠限量搶｜京阪神三都.嵐山渡月橋.有馬溫泉.日本環球影城.梅田空中庭園展望台五日｜二晚環球影城旁飯店,True,34888.0,"主題樂園, 溫泉之旅, 自然景觀","嵐山, 有馬溫泉, 環球影城","主題樂園, 嵐山, 有馬溫泉, 溫泉之旅, 環球影城, 自然景觀"
24JXN16D7A-ZP,關西楓紅｜賞楓名所~北野天滿宮御土居.清水寺.嵐山渡月橋.環球影城.宇治川遊船五日｜螃蟹吃到飽｜環球影城旁飯店,True,37900.0,"主題樂園, 文化歷史, 美食, 自然景觀","北野, 宇治, 宇治川, 嵐山, 清水寺, 環球影城","主題樂園, 北野, 宇治, 宇治川, 嵐山, 文化歷史, 清水寺, 環球影城, 美食, 自然景觀"
TWNTO023,雲品溫泉酒店日月潭FLEUR DE CHINE HOTEL,True,10009.0,"溫泉之旅, 自然景觀",日月潭,"日月潭, 溫泉之旅, 自然景觀"
25EE211CIB-T,"玩樂369｜旗艦奧捷｜六晚五星,湖區飯店,藝術史博物館,維也納雙宮入內,國王湖,鹽礦探險,華航雙點直飛,免小費12日",True,148900.0,"文化歷史, 自然景觀, 藝文體驗, 豪華","國王湖, 奧捷, 維也納","國王湖, 奧捷, 文化歷史, 維也納, 自然景觀, 藝文體驗, 豪華"
24TN907JIU-T,大東北角｜新北旅遊｜1人成行！九份.猴硐.十分超值1日(09:00出發),False,699.0,其他,"九份, 新北","九份, 其他, 新北"
25EE325CIB-T,"玩樂369｜旗艦奧捷｜六晚五星,湖區飯店,藝術史博物館,維也納雙宮入內,國王湖,鹽礦探險,華航雙點直飛,免小費12日",True,156900.0,"文化歷史, 自然景觀, 藝文體驗, 豪華","國王湖, 奧捷, 維也納","國王湖, 奧捷, 文化歷史, 維也納, 自然景觀, 藝文體驗, 豪華"
24TM918S14-X,杉林溪賞楓．第二人折$500．南投｜杉林溪森林樂園.森林浴.杉林溪主題會館1泊2食二日｜台中出發,False,2699.0,"主題樂園, 自然景觀","台中, 杉林溪","主題樂園, 台中, 杉林溪, 自然景觀"
241043,屏東-藍皮解憂號觀光列車| 枋寮-臺東單趟超值版(5/1-9/30),False,99.0,火車旅遊,"屏東, 臺東","屏東, 火車旅遊, 臺東"
G24000VL,Taiwan PASS| 台鐵版(花蓮振興方案)| 兩人同行一人免費(1套2張)| 限量優惠,False,2800.0,其他,花蓮,"其他, 花蓮"
24TS913N3B-X,嘉義｜栩悅號.北門➔奮起湖｜懷舊老街.鄒族歌舞表演.逐鹿文創園區.五星耐斯王子1泊2食二日｜中部出發,False,5999.0,"自然景觀, 藝文體驗, 豪華","嘉義, 奮起湖","嘉義, 奮起湖, 自然景觀, 藝文體驗, 豪華"
